Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth 5Years,Profit growth 5Years,Average return on equity 5Years,Price to book value,Return on equity,Debt to equity,Sales growth 3Years,Profit growth 3Years,Pledged percentage,Historical PE 5Years,Cash from operations last year,Cash from operations preceding year,Days Receivable Outstanding,Interest Coverage Ratio,OPM,OPM last year,OPM preceding year,OPM latest quarter,OPM preceding quarter,OPM 5Year,OPM preceding year quarter,Dividend Payout Ratio,Dividend Payout
Ashnisha Indus.,541702,,INE694W01024,Commercial Services & Supplies,Trading & Distributors,2.85,444.47,75.56,0.00,0.04,-66.67,1.33,280.00,0.25,4.81,18.76,0.83,0.69,0.29,0.05,-13.19,-34.75,0.00,308.00,-42.73,-12.75,456.75,,-10.20,-13.23,-83.02,-4.51,-19.42,-11.05,-71.43,0.00,0.00
Ashnoor Textile,507872,,INE372I01018,Textiles & Apparels,Other Textile Products,48.40,5.61,77.11,0.00,9.91,113.58,34.18,-14.21,9.94,-0.80,11.64,11.36,0.81,9.36,0.59,-13.73,12.98,0.00,7.85,28.52,12.43,78.20,5.38,14.18,14.14,13.37,17.44,21.65,10.06,16.89,0.00,0.00
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,169.00,26.66,99268.14,2.07,667.77,0.78,13069.59,11.62,13.63,19.95,84.13,21.54,6.97,27.43,4.49,5.05,44.92,40.10,27.11,-4894.71,128.47,23.32,2.13,19.03,5.58,7.10,18.44,19.18,10.48,18.56,59.23,59.23
Ashoka Buildcon,533271,ASHOKA,INE442H01029,Construction,Civil Construction,115.55,4.79,3243.76,0.00,127.17,-41.23,1499.61,-20.53,26.52,8.54,23.88,29.39,0.49,15.34,0.24,-2.45,35.09,0.00,4.85,654.58,1673.45,78.14,2.26,21.54,24.97,29.09,17.19,13.21,26.03,31.72,0.00,0.00
Ashoka Metcast,540923,ASHOKAMET,INE760Y01011,Metals & Minerals Trading,Trading - Metals,13.58,2.63,33.94,0.00,3.23,185.84,4.07,-25.32,9.39,-12.60,135.22,5.34,0.28,9.25,0.47,-18.11,49.69,0.00,7.72,-17.18,-6.27,364.21,12.74,19.87,23.39,9.65,-18.18,23.29,10.42,9.54,0.00,0.00
Ashoka Refinerie,526983,,INE760M01016,Agricultural Food & other Products,Other Agricultural Products,15.47,,5.26,0.00,-0.04,0.00,0.01,,-6.00,-44.36,,-0.32,2.15,-6.36,0.06,-72.44,,0.00,19.40,-0.17,0.26,365.00,,-320.00,-400.00,-54.84,-400.00,-400.00,-1.98,,0.00,0.00
Ashram Online,526187,,INE293C01019,Healthcare Services,Healthcare Service Provider,5.90,,7.08,0.00,-0.02,50.00,0.13,30.00,0.84,4.24,12.51,-0.72,0.64,-1.16,0.32,7.17,13.96,0.00,185.83,-3.20,-0.08,471.46,0.79,-74.51,-85.42,-105.71,-76.92,-71.43,-110.36,-110.00,0.00,0.00
Ashtasidhhi Ind,531341,,INE373D01017,Finance,Non Banking Financial Company (NBFC),13.65,68.33,10.25,0.00,0.08,,2.45,64.43,1.65,108.51,21.67,0.52,1.00,0.78,0.01,188.16,25.99,0.00,108.00,0.15,0.01,417.84,,0.39,-0.60,1.95,2.04,-7.14,0.32,-1.34,0.00,0.00
Ashutosh Fibre,,ASHUTOSH,INE19FR01012,,,,12.55,201.25,,,,,,27.19,,,26.84,,36.56,0.92,6.22,69.39,,,21.44,11.22,66.67,5.61,26.47,26.47,15.65,,,16.03,,0.00,0.00
Ashwini Contain.,,ASHWINI,INE1A6Q01010,Transport Services,Road Transport,180.00,17.60,270.00,0.00,9.91,81.50,54.91,20.36,24.08,,,,,72.05,2.46,17.29,131.30,0.00,13.41,19.92,8.08,108.98,3.35,26.53,26.53,17.55,34.62,,,,0.00,0.00
Asi Industries,502015,,INE443A01030,Minerals & Mining,Industrial Minerals,24.87,8.93,224.02,1.61,6.45,59.65,39.53,34.05,8.82,-2.90,13.82,4.67,0.62,6.06,0.11,2.78,5.14,0.00,10.86,15.73,-3.36,124.66,19.13,14.08,13.53,15.73,13.51,11.18,12.62,10.51,15.88,15.88
Asia Capital,538777,,INE131Q01011,Finance,Non Banking Financial Company (NBFC),113.95,220.19,35.23,0.00,0.04,300.00,0.09,350.00,3.02,-0.45,-4.90,4.28,6.62,2.69,0.00,-3.52,-11.21,0.00,147.87,-2.54,6.07,0.00,,28.57,40.91,70.18,55.56,-22.22,54.80,-100.00,0.00,0.00
Asia Pack,530899,,INE784M01016,Textiles & Apparels,Other Textile Products,55.00,103.64,14.51,0.00,0.13,-43.48,0.02,-66.67,1.28,4.84,18.13,0.93,0.39,0.63,0.00,56.05,3.08,0.00,39.99,-0.38,-0.33,0.00,,-235.71,-147.37,-209.52,-400.00,-550.00,-300.00,-83.33,0.00,0.00
Asian Energy,530355,ASIANENE,INE276G01015,Oil,Oil Equipment & Services,517.45,38.97,2517.25,0.24,12.76,115.50,271.19,135.06,16.51,28.16,11.21,8.69,4.71,12.93,0.32,93.05,51.93,0.00,31.57,52.99,-33.08,160.45,7.78,11.09,12.05,14.22,7.80,14.12,12.99,9.93,10.97,10.97
Asian Granito,532888,ASIANTILES,INE022I01019,Consumer Durables,Ceramics,50.26,114.45,1490.08,0.00,8.07,8.84,530.95,36.76,2.85,7.53,-19.60,0.07,0.98,1.27,0.29,5.94,31.33,0.00,25.81,93.98,60.14,109.03,1.34,4.83,5.07,5.14,6.19,-3.88,3.40,6.41,0.00,0.00
Asian Hotels (E),533227,AHLEAST,INE926K01017,Leisure Services,Hotels & Resorts,136.51,22.06,236.05,0.73,4.32,166.16,26.87,7.65,5.60,17.60,12.23,1.01,1.29,-3.08,2.34,9.26,,0.00,14.42,22.27,0.39,12.98,3.25,30.46,30.62,26.31,24.12,33.21,23.83,23.16,0.00,0.00
Asian Hotels (N),500023,ASIANHOTNR,INE363A01022,Leisure Services,Hotels & Resorts,384.75,122.14,1640.31,0.00,-3.54,73.87,77.63,10.44,3.52,36.27,15.18,-26.03,1.78,0.57,0.36,10.07,26.83,0.00,378.56,-155.55,436.57,22.75,0.52,12.63,13.27,26.42,17.47,22.83,19.54,21.11,0.00,0.00
Asian Hotels (W),533221,AHLWEST,INE915K01010,Leisure Services,Hotels & Resorts,530.85,6.85,618.50,0.00,14.28,76.73,97.71,9.44,19.66,27.07,20.58,,,,,7.82,35.95,0.00,8.00,202.91,138.35,14.68,3.27,44.49,45.16,42.81,40.32,44.54,40.61,38.03,0.00,0.00
Asian Paints,500820,ASIANPAINT,INE021A01026,Consumer Durables,Paints,2527.30,49.71,242418.06,1.09,1559.45,39.96,10541.94,17.94,26.34,10.38,7.28,24.75,11.34,21.79,0.18,1.05,2.43,9.54,62.75,7088.18,4423.96,45.77,34.95,19.47,18.83,17.71,20.57,19.32,18.60,18.18,60.98,60.98
Asian Petroprod.,524434,,INE810M01019,Chemicals & Petrochemicals,Commodity Chemicals,12.08,29.97,29.67,0.00,-0.10,-171.43,37.70,700.42,11.52,159.83,43.91,,2.29,9.79,0.11,59.42,122.40,0.00,386.80,-1.43,-3.56,44.56,3.50,-0.07,-0.13,-3.89,-0.45,-0.20,-1.80,-3.82,0.00,0.00
