Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth 5Years,Profit growth 5Years,Average return on equity 5Years,Price to book value,Return on equity,Debt to equity,Sales growth 3Years,Profit growth 3Years,Pledged percentage,Historical PE 5Years,Cash from operations last year,Cash from operations preceding year,Days Receivable Outstanding,Interest Coverage Ratio,OPM,OPM last year,OPM preceding year,OPM latest quarter,OPM preceding quarter,OPM 5Year,OPM preceding year quarter,Dividend Payout Ratio,Dividend Payout
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,222.49,11.54,785.09,0.56,17.74,5.33,244.72,-0.99,17.31,14.55,23.38,15.74,1.62,14.54,0.32,10.78,16.65,0.00,10.02,103.59,31.79,67.62,6.65,12.94,12.84,12.86,13.13,12.10,12.90,12.75,6.60,6.60
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,38.13,,40.04,0.00,9.14,295.67,9.66,190.09,-57.00,,,9.29,1.21,-57.21,0.00,22.98,-12.57,0.00,1.79,-2.37,5.15,-132.63,,-162.27,-141.97,17.30,94.62,,16.56,69.37,0.00,0.00
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1137.00,36.72,46340.08,1.06,330.53,16.11,1226.09,34.52,12.12,21.99,26.80,18.86,4.70,14.39,1.62,29.53,22.72,0.00,33.80,-2921.06,-2462.17,41.12,2.34,61.85,62.98,64.92,63.01,59.46,61.56,62.09,40.07,40.07
3B Blackbio,532067,3BBLACKBIO,INE994E01018,Healthcare Services,Healthcare Service Provider,1460.10,22.57,1253.16,0.27,8.98,-24.31,33.49,50.65,25.48,-8.95,-12.44,18.42,3.86,19.77,0.01,31.90,31.41,0.00,19.19,52.48,43.36,128.83,226.24,34.90,40.01,51.94,25.44,23.96,45.29,53.22,7.31,7.31
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,11.66,15.70,28.88,0.00,2.79,36.76,34.30,-11.85,4.90,-0.93,61.02,8.54,0.54,4.16,1.89,-5.80,25.99,0.00,22.55,-1.60,14.89,201.26,1.42,18.46,18.46,18.47,21.81,13.80,16.59,,0.00,0.00
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,19.13,19.86,11.52,0.00,0.43,290.91,37.28,186.33,5.12,7.56,-7.58,9.31,0.87,4.46,0.03,-1.90,-20.17,0.00,37.02,0.05,-2.98,205.69,6.90,2.14,2.14,2.44,2.07,2.31,4.09,,0.00,0.00
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,22.37,12.30,463.96,0.00,6.52,-15.22,177.94,4.33,12.99,2.64,14.26,-2.25,1.22,11.05,0.16,-1.66,132.87,0.00,13.10,-43.58,31.56,56.90,12.31,-1.35,-2.59,3.27,2.85,-5.48,-3.23,-2.03,0.00,0.00
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,32845.00,83.96,37016.32,0.49,233.07,-0.42,1423.21,19.00,50.01,16.03,29.60,21.88,20.93,29.98,0.10,10.88,9.22,0.00,73.30,513.72,355.11,60.14,21.25,18.47,19.37,17.31,16.73,18.40,16.83,20.21,109.18,109.18
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,32.39,25.68,58.30,0.00,0.46,24.32,1.05,15.38,2.38,27.06,77.40,1.96,0.56,1.78,0.00,22.83,12.28,0.00,31.56,0.06,1.17,0.00,,64.86,63.81,62.42,60.95,57.43,69.60,54.95,0.00,0.00
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.16,,4.05,0.00,-16.65,-23685.71,0.00,,0.61,,15.04,-2.22,0.25,0.69,0.24,,44.22,0.00,36.67,-0.12,-0.12,,,,,,,,,,0.00,0.00
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,342.10,36.28,1603.84,0.00,11.57,0.17,88.33,13.70,9.94,10.45,24.60,9.40,2.47,7.04,0.58,-1.86,0.40,0.00,39.62,-103.71,97.94,0.22,2.76,30.76,31.59,35.41,29.50,30.09,27.61,32.42,0.00,0.00
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,876.50,,4038.78,0.23,-47.56,-203.60,137.16,350.44,-3.70,5.72,,0.11,1.14,-1.98,0.00,-9.98,-23.40,0.00,15.98,-292.97,-142.78,114.28,-117.72,-93.79,-133.13,-508.80,-52.30,-57.08,-53.75,-180.23,-41.11,-41.11
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,6.99,14.19,19.58,0.00,1.13,1127.27,2.85,-42.42,0.62,35.57,17.81,0.27,1.34,0.48,0.16,-35.76,-16.45,0.00,128.71,-1.82,3.55,241.12,12.20,8.35,-6.33,2.10,52.63,,-0.89,-3.43,0.00,0.00
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,95.52,92.37,220.77,0.00,0.69,27.78,5.76,17.31,9.16,298.58,4.61,,7.52,9.41,0.00,53.90,73.09,0.00,78.99,-5.09,-3.12,102.86,,17.37,16.15,13.95,19.10,20.58,13.63,14.46,0.00,0.00
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7410.00,101.88,157024.11,0.53,362.30,8.03,3558.87,21.03,29.93,17.80,57.13,21.60,16.81,22.39,0.02,15.51,29.76,0.00,95.92,1219.52,1331.80,87.81,126.41,13.97,15.49,18.96,12.56,12.83,14.39,13.64,50.01,50.01
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,11.35,37.16,725.03,0.05,5.34,3.09,76.25,25.91,16.06,32.91,65.89,15.34,4.28,13.84,0.52,28.05,47.74,0.00,41.47,-51.17,-23.59,148.46,3.40,14.37,14.86,15.88,13.90,14.42,13.56,15.87,1.98,1.98
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,86.07,49.21,10505.03,0.58,29.02,20.62,2045.74,11.15,15.02,,,,7.44,14.87,2.14,,,0.00,56.83,1218.81,1144.17,52.09,1.77,16.15,16.33,15.62,15.06,16.21,,14.30,35.68,35.68
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,55.86,,52.55,0.00,0.68,855.56,10.45,-26.92,-8.50,-15.79,,-14.59,4.58,-17.19,0.73,-13.92,19.46,0.00,50.00,3.25,-1.23,12.00,-4.10,-3.34,-4.59,-2.67,6.03,10.44,-3.81,-1.12,0.00,0.00
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1373.60,,15342.52,0.18,-34.59,-59.41,188.85,29.74,-4.48,-31.07,,1.11,4.15,-2.64,1.52,-52.63,,0.00,113.10,747.23,-1293.44,14.98,-4.80,-85.83,-90.32,1.32,-30.02,-200.41,8.24,-29.12,-27.05,-27.05
A C J K Exports,544743,AEROPLANE,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,194.29,16.25,2011.90,0.00,36.63,127.52,663.73,55.10,15.70,15.72,48.99,12.26,,15.85,0.82,20.37,83.17,0.00,14.76,-166.37,94.96,79.03,3.09,9.62,9.85,8.19,9.32,6.40,7.61,10.36,0.00,0.00
A F Enterprises,538351,,INE663P01015,Commercial Services & Supplies,Trading & Distributors,1.76,,5.89,0.00,-0.14,6.67,5.64,370.00,-2.24,,,,0.16,-2.47,0.17,-39.13,,0.00,54.10,-0.03,-15.34,5048.59,-4.85,-1.72,-9.18,-17.91,1.42,-71.43,,-2.50,0.00,0.00
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,45.90,314.62,25.17,0.00,-0.41,-180.39,41.40,32.40,5.13,13.84,-7.79,6.47,1.16,0.40,0.88,7.39,-26.32,0.00,21.40,0.13,-3.63,26.62,1.19,1.80,1.80,6.65,3.48,-0.37,3.75,,0.00,0.00
A R C I,,,IN9148G01014,,,,12.87,5249.04,,,,,,19.06,34.52,46.17,,,14.74,0.11,,,,,153.58,319.04,34.92,16.19,73.95,73.95,77.75,,,,,0.00,0.00
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,5.08,27.33,233.68,0.98,3.16,426.67,175.01,170.54,11.66,18.76,17.63,8.72,4.32,11.55,0.77,1.23,18.28,0.00,158.98,-16.08,-10.53,83.05,6.22,3.58,3.54,3.04,3.40,4.88,2.64,2.88,0.00,0.00
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1736.90,10.02,1146.35,3.45,28.26,17.71,139.72,3.92,9.33,14.74,8.21,10.49,1.10,10.95,2.95,12.08,8.00,0.00,6.86,-257.66,-261.16,4.38,1.69,70.35,69.88,70.81,73.33,71.31,66.56,71.34,35.89,35.89
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,15.61,65.53,277.11,0.00,-0.02,-98.57,68.45,-24.37,16.34,-1.41,15.88,-40.21,5.56,15.36,1.95,3.41,-22.33,99.68,23.81,-16.61,54.21,75.85,2.03,0.68,2.24,1.98,0.89,-3.46,-12.41,7.47,0.00,0.00
AAA Technologies,543671,AAATECH,INE0D0U01013,Commercial Services & Supplies,Consulting Services,91.74,56.57,117.67,1.64,0.87,12.99,3.76,1.62,8.16,9.27,10.52,10.32,3.80,6.09,0.00,-3.79,-13.15,0.00,36.24,2.70,1.66,127.97,,8.00,8.27,16.57,19.15,-35.09,17.79,19.19,0.00,0.00
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,483.55,18.37,21189.49,0.00,282.36,19.00,992.89,17.06,11.38,18.52,26.64,16.59,2.79,15.94,2.49,21.71,25.27,0.00,21.14,-2807.88,-3026.65,2.68,2.05,76.17,76.43,76.31,75.02,75.59,76.29,75.58,0.00,0.00
Aadi Industries,530027,,INE563D01013,Chemicals & Petrochemicals,Petrochemicals,8.03,,8.03,0.00,-0.06,-50.00,0.00,,-13.95,,-18.32,,,,,,0.00,0.00,,-2.48,-0.17,,,,,,,,,,0.00,0.00
Aakaar Medical,,AAKAAR,INE1GYP01013,Personal Products,Personal Care,62.70,13.38,88.86,0.00,7.42,33.21,41.64,22.90,18.46,40.02,65.18,22.86,1.63,17.07,0.34,26.88,45.63,0.00,13.43,-8.36,-5.41,202.94,6.11,15.41,15.41,15.87,25.02,-0.91,13.67,,0.00,0.00
Aakash Explor.,,AAKASH,INE087Z01024,Oil,Offshore Support Solution Drilling,8.75,25.46,88.59,0.00,0.52,-3.70,27.89,16.89,7.93,13.48,-2.97,8.00,1.39,5.63,0.35,6.70,-8.71,0.00,25.16,14.43,8.23,80.43,3.65,12.39,13.40,10.30,8.03,16.29,15.04,12.07,0.00,0.00
Aananda Lakshmi,539096,,INE197R01010,Textiles & Apparels,Other Textile Products,11.36,2.60,3.98,0.00,-0.24,-78.57,0.10,-66.67,,-21.59,19.22,,,,,113.02,-7.13,0.00,2.34,2.54,6.92,37.76,,65.52,64.53,67.32,-10.00,78.12,29.67,20.00,0.00,0.00
Aanchal Ispat,538812,,INE322R01022,Industrial Products,Iron & Steel Products,66.51,11.17,28.16,0.00,0.55,1000.00,24.76,9.22,41.26,-3.94,18.88,-27.77,2.30,34.71,0.21,-20.16,27.76,0.00,10.88,-1.78,-2.68,37.36,108.33,0.76,0.86,-3.22,0.40,0.34,-4.58,0.71,0.00,0.00
Aar Shyam (I),542377,,INE512R01010,Finance,Non Banking Financial Company (NBFC),14.95,,4.49,0.00,-0.07,89.71,0.02,-50.00,-23.85,-21.91,,-4.70,1.65,-26.43,0.12,-47.16,,0.00,5.68,0.01,-0.55,0.00,,-262.50,-933.33,-7.14,-350.00,-100.00,-56.77,-1700.00,0.00,0.00
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,110.80,25.81,156.65,0.00,6.21,68.75,60.27,22.48,16.90,24.77,58.86,25.26,2.01,20.60,0.51,21.90,75.65,0.00,12.79,-8.87,5.48,55.34,4.04,7.57,7.57,15.85,16.28,,9.04,,0.00,0.00
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,95.79,70.92,295.74,0.00,1.02,-25.55,44.63,-56.33,5.58,6.27,-9.42,3.67,1.81,2.75,0.33,4.08,1.74,0.00,26.45,10.14,10.30,100.20,1.75,1.64,1.52,0.61,2.96,2.29,1.49,1.67,0.00,0.00
Aarnav Fashions,539562,AARNAV,INE750R01016,Textiles & Apparels,Trading - Textile Products,32.17,14.88,135.88,0.00,1.68,-11.11,86.53,-10.94,7.63,13.19,14.08,3.78,0.69,4.88,0.56,5.09,176.98,0.00,17.44,21.45,25.04,103.39,2.35,6.60,6.50,7.74,7.74,6.65,6.85,7.18,0.00,0.00
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,128.45,32.46,269.06,0.39,2.56,141.51,24.44,27.03,18.66,29.81,28.74,20.98,5.53,14.97,0.57,18.11,8.30,0.00,43.74,7.67,8.63,27.81,6.27,19.52,19.33,19.04,20.21,18.59,18.10,19.02,15.40,15.40
Aartech Solonics,542580,AARTECH,INE01C001026,Electrical Equipment,Heavy Electrical Equipment,48.64,28.94,154.53,0.26,1.55,63.54,7.29,67.97,17.81,30.12,189.26,6.84,4.40,12.17,0.16,23.52,44.22,0.00,60.90,-0.75,-1.52,146.07,10.85,16.13,15.02,4.43,12.21,8.30,8.14,-2.07,0.00,0.00
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,431.65,20.45,3939.67,0.46,50.13,-4.14,702.78,19.01,12.03,3.55,-7.00,14.83,2.54,13.36,0.37,-1.89,5.43,2.50,23.67,253.54,244.58,118.08,7.72,12.45,12.15,12.16,13.97,13.30,12.34,12.55,9.36,9.36
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,492.05,34.17,17847.97,0.20,155.00,256.47,2387.00,42.51,6.86,12.96,-4.66,11.53,3.00,7.13,0.83,7.78,-8.89,3.49,41.45,780.80,1237.62,61.80,2.35,14.82,14.10,13.72,16.00,15.46,17.19,12.66,8.65,8.65
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,858.80,36.18,7787.58,0.41,76.14,53.82,535.80,38.74,10.70,,,12.66,3.66,8.59,0.36,-2.20,-2.95,11.08,26.23,261.93,331.56,117.02,6.42,21.62,20.29,21.96,25.40,19.42,19.80,24.20,18.16,18.16
Aarti Surfactant,543210,AARTISURF,INE09EO01013,Chemicals & Petrochemicals,Specialty Chemicals,548.50,25.24,464.63,0.18,9.00,206.12,272.87,26.39,8.53,13.03,-10.62,6.73,1.90,5.17,0.43,12.63,-0.95,0.00,36.80,76.65,11.14,44.46,3.02,6.06,5.46,6.36,7.44,5.15,7.03,5.39,6.86,6.86
Aarvi Encon,544850,AARVI,INE754X01016,Commercial Services & Supplies,Diversified Commercial Services,141.92,10.66,210.67,1.41,5.99,41.94,172.68,14.13,14.67,26.35,11.46,11.96,1.48,13.46,0.19,14.18,5.64,0.00,14.00,8.05,-2.40,57.50,8.72,3.31,3.55,2.79,2.60,3.95,3.59,3.26,16.81,16.81
Aashka Hospitals,543346,,INE0EAX01014,Healthcare Services,Hospital,84.85,69.91,198.55,0.00,2.56,197.67,12.57,22.28,4.05,-10.78,-7.13,1.62,1.92,2.80,0.08,6.70,45.89,0.00,50.50,7.79,9.19,110.56,3.84,22.77,22.77,18.90,24.90,20.21,18.00,,0.00,0.00
AastamangalamFin,511764,,INE819K01014,Finance,Non Banking Financial Company (NBFC),31.90,5.54,49.56,0.00,2.50,-16.39,4.27,-9.34,13.25,94.93,81.45,11.56,0.59,11.98,0.60,72.42,86.72,0.00,13.48,17.64,-33.63,0.00,3.90,97.31,97.50,82.38,96.02,97.36,88.84,96.82,0.00,0.00
Aastha Spintex,544808,AASTHA,INE2FMX01012,Textiles & Apparels,Other Textile Products,78.12,14.05,344.84,0.13,3.09,35.53,77.47,-15.71,18.98,19.14,45.91,17.89,,16.84,0.67,22.76,181.88,0.00,10.56,5.36,-17.82,46.34,3.79,12.01,12.01,14.20,11.76,14.30,11.03,8.07,13.33,13.33
Aatmaj Health,,AATMAJ,INE0OB201016,Healthcare Services,Hospital,18.25,57.29,41.25,0.00,0.20,-39.39,13.51,22.48,3.60,7.78,-29.45,8.86,0.81,1.43,0.41,-1.73,-50.43,0.00,57.03,7.07,3.34,397.56,1.72,10.65,10.65,8.09,7.55,12.30,23.71,,0.00,0.00
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1304.20,15.05,10341.57,0.00,171.27,23.01,708.72,12.93,9.92,19.46,17.72,13.96,2.05,13.91,3.11,18.61,15.04,0.00,26.63,-1386.42,-1660.13,2.03,1.79,73.82,73.67,75.29,73.85,72.20,73.78,73.21,0.00,0.00
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1267.70,246.02,1941.12,0.00,7.53,382.69,168.63,257.34,18.86,144.82,205.25,7.61,31.94,13.88,0.00,153.82,211.91,0.00,826.93,-0.07,-40.43,167.02,,4.97,4.97,3.32,6.05,1.15,4.02,-2.34,0.00,0.00
Aayush Wellness,539528,,INE430R01023,Food Products,Packaged Foods,27.09,31.10,131.85,0.09,1.42,22.41,33.11,46.31,34.82,,,,10.75,38.75,0.39,,,0.00,131.38,-5.43,0.38,0.35,,1.26,1.18,4.55,2.33,0.72,,2.25,3.06,3.06
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,208.15,32.31,457.17,0.00,5.10,20.85,100.97,51.40,9.96,20.96,27.86,11.12,2.98,10.05,0.96,20.88,90.11,0.00,46.31,34.58,-16.58,88.27,2.68,12.56,13.34,10.04,11.89,8.59,10.41,15.02,0.00,0.00
Aban Offshore,523204,ABAN,INE421A01028,Oil,Offshore Support Solution Drilling,14.99,,87.49,0.00,1.80,100.73,99.12,-14.34,,-17.46,11.67,,,,,1.07,15.81,19.37,,15.82,138.89,87.71,0.11,38.08,38.08,36.14,41.62,45.72,-41.26,40.71,0.00,0.00
ABans Enterprise,512165,ABANSENT,INE365O01028,Metals & Minerals Trading,Trading - Metals,27.86,6.08,194.32,0.00,32.69,598.50,1889.40,39.26,4.92,27.76,-34.56,7.81,0.90,1.84,0.75,94.85,-38.45,0.00,12.23,160.73,-193.09,3.49,4.45,0.19,-0.03,0.61,2.42,-0.03,0.37,1.03,0.00,0.00
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,202.07,8.01,1027.32,0.00,65.85,106.84,3712.76,96.05,7.90,78.14,18.11,9.19,0.82,8.29,0.60,173.77,14.07,0.00,17.28,505.18,-118.76,0.57,4.92,0.80,0.66,5.80,2.68,0.18,2.23,2.71,0.00,0.00
Abate As Indust,531658,,INE454E01013,Healthcare Services,Hospital,8.94,11.46,140.90,0.00,2.24,-0.44,22.82,-44.42,6.63,,,,0.81,5.10,0.06,,,0.00,234.00,6.13,-0.71,59.23,23.58,10.04,8.25,5.32,14.64,9.13,,6.09,0.00,0.00
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,26065.00,34.30,55388.13,2.01,428.52,17.13,1813.68,4.33,44.80,9.96,17.49,33.53,11.60,34.35,0.04,9.01,17.66,0.00,48.05,1319.24,1011.84,19.05,87.06,28.11,27.31,26.45,28.81,28.13,24.90,25.63,89.82,89.82
ABC India,520123,,INE125D01011,Transport Services,Road Transport,65.00,,35.21,0.77,0.12,1100.00,41.31,9.05,-0.31,-0.38,,3.42,0.60,-3.01,0.24,4.16,,0.00,21.94,5.32,1.68,56.25,-0.16,-1.65,-1.59,2.40,0.29,-1.35,2.28,0.77,11.73,11.73
ABH Healthcare,,ABH,INE1R2M01019,Healthcare Services,Hospital,80.70,16.07,92.24,0.00,,,,,19.90,,,44.23,,39.55,3.17,20.91,99.77,,12.15,2.11,3.54,234.21,2.80,28.76,28.76,27.17,,,23.13,,0.00,0.00
Abha Power,,ABHAPOWER,INE0UYG01015,Industrial Products,Castings & Forgings,24.60,18.59,45.73,0.00,0.43,-86.44,27.65,-22.72,7.01,,,10.47,0.86,4.72,0.37,4.39,20.67,0.00,12.35,8.22,2.58,62.77,2.99,8.61,8.61,15.30,6.44,10.33,9.96,,0.00,0.00
Abhinav Capital,532057,,INE516F01016,Finance,Non Banking Financial Company (NBFC),107.00,26.75,74.09,0.00,0.66,37.50,1.09,11.22,4.21,5.66,15.14,8.67,0.90,3.38,0.00,-31.18,-35.56,0.00,14.39,-37.80,-22.60,0.00,,77.27,75.47,80.66,78.90,72.73,90.27,70.41,0.00,0.00
Abhinav Leasing,538952,,INE211D01027,Finance,Non Banking Financial Company (NBFC),1.09,12.39,5.45,0.00,0.16,-40.74,0.81,131.43,6.27,-38.50,48.96,4.43,0.81,10.30,5.64,-46.62,87.58,0.00,73.67,1.49,7.47,0.00,1.35,38.38,36.95,1.83,74.07,38.00,5.72,80.00,0.00,0.00
Abhishek Finle.,538935,,INE723C01015,Finance,Non Banking Financial Company (NBFC),63.87,,29.46,0.00,0.03,50.00,0.08,14.29,1.81,-1.79,-8.64,2.39,4.82,1.15,0.00,5.61,-8.04,0.00,115.11,-0.03,-0.66,6.89,,-10.91,-11.32,23.75,0.00,-36.36,22.59,0.00,0.00,0.00
Abhishek Infra.,539544,,INE281P01016,Realty,"Residential, Commercial Projects",8.04,,4.06,0.00,-0.04,55.56,0.00,,-4.83,,4.56,-5.38,1.12,-6.42,0.34,,,0.00,29.55,0.00,-0.01,,,,,,,,,,0.00,0.00
Abhishek Integr.,,AILIMITED,INE0CAJ01017,Construction,Civil Construction,22.25,35.25,28.20,0.00,0.48,-35.14,14.28,-4.03,10.76,64.42,46.14,8.88,2.41,7.50,0.94,7.79,6.09,0.00,27.41,1.67,1.14,67.99,2.01,7.97,7.97,8.42,8.96,6.80,7.23,,0.00,0.00
Abirami Fin.,511756,,INE195I01013,Finance,Non Banking Financial Company (NBFC),34.77,38.33,18.78,4.31,0.10,-16.67,0.00,,3.45,,44.27,20.12,0.96,2.59,0.00,,-67.31,0.00,32.27,-0.44,-0.50,,,,,,,,,,158.82,158.82
ABM Knowledge,531161,ABMKNO,INE850B01026,IT - Software,Software Products,189.90,44.95,379.84,0.66,4.56,-26.54,26.17,4.22,6.54,2.98,-13.97,6.11,1.57,3.96,0.00,9.06,-10.67,0.00,18.06,-11.35,24.51,210.34,69.17,14.01,13.98,18.58,19.11,11.71,17.88,19.08,27.09,27.09
Abram Food,544422,,INE0ZDY01011,Food Products,Other Food Products,39.37,8.63,20.29,0.00,0.60,-54.20,56.20,159.11,14.17,,,23.13,0.87,14.84,0.60,50.18,69.80,0.00,12.59,-16.09,-0.67,53.13,4.16,3.67,3.67,8.00,2.05,4.99,4.78,,0.00,0.00
Abril Paper,544500,,INE15MX01014,Industrial Products,Other Industrial Products,33.55,17.85,26.78,0.00,0.43,-24.56,27.05,-2.31,12.34,,,,1.13,8.89,0.03,,,0.00,17.70,-7.60,-3.23,41.68,12.33,3.24,3.24,3.30,2.33,3.81,,,0.00,0.00
ABS Marine,,ABSMARINE,INE0QRV01016,Transport Services,Shipping,337.90,10.37,829.54,0.00,49.46,154.86,183.09,83.46,20.98,29.23,123.95,19.56,2.67,29.55,1.21,42.09,108.91,0.00,10.07,167.62,44.89,112.59,3.80,46.70,46.70,27.90,51.46,40.30,35.69,,0.00,0.00
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1283.80,12.69,24108.13,0.58,147.00,-56.33,5808.00,-4.59,11.25,13.50,6.61,11.78,1.17,10.86,0.02,5.34,31.47,0.00,22.11,-1364.01,1711.48,54.01,17.48,10.33,11.39,14.07,7.87,8.77,13.21,12.78,6.60,6.60
Accedere,531533,,INE578B01015,IT - Software,Computers - Software & Consulting,47.10,31.00,23.25,0.21,0.07,0.00,1.01,32.89,15.72,48.74,99.37,3.35,4.60,13.53,0.17,39.46,184.39,0.00,275.40,0.81,0.69,73.00,,26.08,26.02,4.93,12.87,51.79,10.05,13.16,0.00,0.00
Accel,517494,,INE258C01038,IT - Software,Computers - Software & Consulting,12.46,15.13,72.49,2.41,-0.66,-154.55,43.25,11.87,7.02,18.91,39.75,6.37,1.05,9.22,0.92,1.88,24.88,0.00,30.67,10.62,10.68,66.21,1.22,7.10,7.42,9.49,6.68,5.97,10.26,7.99,0.00,0.00
AccelerateBS Ind,543938,,INE0POP01017,IT - Software,Computers - Software & Consulting,99.75,52.75,34.29,0.30,0.65,,6.92,,,,,,8.55,16.21,2.62,,,0.00,52.91,0.25,,200.43,3.26,21.53,21.53,,21.24,,,,21.17,21.17
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1131.00,16.26,1688.16,3.98,30.45,-10.31,127.12,-3.52,49.42,12.88,19.75,40.51,6.75,39.33,0.06,4.28,-4.15,0.00,19.18,99.16,144.56,83.74,21.56,32.52,32.52,36.76,36.27,25.17,36.51,38.87,54.79,54.79
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,617.80,33.79,1482.04,0.16,25.79,55.36,209.67,51.34,24.88,21.36,54.27,21.28,5.38,18.65,0.00,20.95,53.07,0.00,20.63,18.64,24.67,95.48,108.89,16.24,16.24,15.84,15.64,17.15,13.91,,5.47,5.47
Accord Synergy,,ACCORD,INE113X01015,Telecom - Services,Other Telecom Services,188.45,54.86,72.97,0.00,0.18,162.07,17.68,22.78,9.24,-1.17,6.74,-7.77,4.40,9.36,0.05,22.26,136.93,0.00,26.34,-0.41,-2.22,90.90,19.57,2.39,2.39,-4.97,0.96,3.71,-3.29,,0.00,0.00
Accord Transformer,544710,,INE132201018,Electrical Equipment,Heavy Electrical Equipment,66.50,30.40,136.81,0.00,3.25,-40.37,42.35,-26.39,14.50,30.69,41.98,22.00,2.80,12.78,0.18,19.77,72.28,0.00,24.74,8.70,-8.80,78.19,12.00,9.90,9.90,11.59,11.10,,7.91,,0.00,0.00
Accretion Nutraveda,544694,,INE1KVQ01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,276.00,39.41,199.82,0.00,2.69,56.40,19.54,80.09,27.73,,,,5.63,25.02,0.12,126.52,162.59,0.00,31.49,-9.42,-2.22,88.13,12.72,20.51,20.51,23.19,18.22,23.47,,,0.00,0.00
Accretion Pha.,,ACCPL,INE0T8T01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,200.00,22.99,222.32,0.00,4.92,13.63,45.89,18.24,28.89,,,,4.06,27.63,0.23,,,0.00,12.99,-14.62,5.75,91.22,16.39,16.68,16.68,20.72,17.17,16.16,,,0.00,0.00
Accuracy Shippi.,544598,ACCURACY,INE648Z01023,Transport Services,Logistics Solution Provider,4.31,16.99,64.89,0.00,0.34,17.07,140.81,-12.91,6.98,12.35,-15.03,6.21,0.52,3.19,1.22,-8.56,-20.70,0.00,22.60,24.86,0.56,71.78,1.32,4.76,4.39,3.24,4.77,6.77,4.16,3.23,0.00,0.00
ACE Alpha Tech,544431,,INE0S9X01011,IT - Software,Computers - Software & Consulting,133.20,15.64,233.88,0.00,7.68,49.90,15.25,102.52,39.57,,184.65,42.64,3.38,29.30,0.00,70.48,65.13,0.00,13.23,-10.89,11.09,356.87,,78.54,78.54,88.22,72.59,88.75,85.33,,0.00,0.00
